"","Sites","AB","SR","BI","Com.dist","Hunting"
"17200","20",40,17,307.148,0.683746376927438,0
"17201","1",11,7,94.86,-1.11989236443133,0
"17202","2",17,8,90.338,-0.774654473469132,0
"17203","3",21,11,163.84,-0.121274545357364,0
"17204","4",38,15,405.498,0.402591289386846,0
"17205","5",20,11,226.64,-0.103848950764644,0
"17206","6",4,3,11.75,-1.65297188284342,1
"17207","7",15,9,70.126,-0.838026006137351,1
"17208","8",9,7,49.16,-0.475063981855253,1
"17209","9",17,13,98.246,0.260403464110951,1
"17210","10",12,9,93.03,0.799097476221641,1
"17211","11",7,5,44.588,-1.16142935035878,1
"17212","12",9,7,81.288,-0.891118632925657,1
"17213","13",15,7,167.78,-0.285775515484963,1
"17214","14",21,10,119.898,0.287016934702205,1
"17215","15",32,14,341.234,0.752674627610676,1
"17216","16",5,4,70.78,-0.91490098004188,0
"17217","17",17,9,140.398,-0.557811453649108,0
"17218","18",9,8,101.8,-0.304285394021343,0
"17219","19",30,15,174.996,0.254564067111078,0
"17220","20",18,11,131.388,0.683746376927438,0
"17221","1",8,6,47.48,-1.11989236443133,0
"17222","2",23,15,161.318,-0.774654473469132,0
"17223","3",19,10,165.08,-0.121274545357364,0
"17224","4",33,15,337.218,0.402591289386846,0
"17225","5",21,12,230.28,-0.103848950764644,0
"17226","6",5,5,33.3,-1.65297188284342,1
"17227","7",19,14,380.326,-0.838026006137351,1
"17228","8",12,10,63.16,-0.475063981855253,1
"17229","9",19,16,241.914,0.260403464110951,1
"17230","10",14,9,275.53,0.799097476221641,1
"17231","11",5,5,19.388,-1.16142935035878,1
"17232","12",13,9,114.006,-0.891118632925657,1
"17233","13",10,8,246.73,-0.285775515484963,1
"17234","14",18,10,115.916,0.287016934702205,1
"17235","15",23,14,673.718,0.752674627610676,1
"17236","16",13,9,138.43,-0.91490098004188,0
"17237","17",19,10,159.918,-0.557811453649108,0
"17238","18",16,11,296.55,-0.304285394021343,0
"17239","19",32,15,207.718,0.254564067111078,0
"17240","20",24,16,150.84,0.683746376927438,0
"17241","1",6,5,44.23,-1.11989236443133,0
"17242","2",11,8,76.738,-0.774654473469132,0
"17243","3",9,7,82.05,-0.121274545357364,0
"17244","4",30,11,301.526,0.402591289386846,0
"17245","5",16,9,262.9,-0.103848950764644,0
"17246","6",5,5,12.838,-1.65297188284342,1
"17247","7",10,7,35.576,-0.838026006137351,1
"17248","8",9,7,104.93,-0.475063981855253,1
"17249","9",16,11,94.514,0.260403464110951,1
"17250","10",7,7,78.73,0.799097476221641,1
"17251","11",3,3,12.188,-1.16142935035878,1
"17252","12",12,8,46.186,-0.891118632925657,1
"17253","13",8,6,69.53,-0.285775515484963,1
"17254","14",15,10,99.548,0.287016934702205,1
"17255","15",17,12,366.768,0.752674627610676,1
"17256","16",5,4,60.78,-0.91490098004188,0
"17257","17",12,7,66.206,-0.557811453649108,0
"17258","18",7,6,85.38,-0.304285394021343,0
"17259","19",16,11,127.428,0.254564067111078,0
"17260","20",11,7,132.24,0.683746376927438,0
"17261","1",13,8,92.11,-1.11989236443133,0
"17262","2",17,10,120.838,-0.774654473469132,0
"17263","3",27,16,149.9,-0.121274545357364,0
"17264","4",47,15,507.728,0.402591289386846,0
"17265","5",22,15,200.468,-0.103848950764644,0
"17266","6",8,6,51.05,-1.65297188284342,1
"17267","7",17,10,42.416,-0.838026006137351,1
"17268","8",13,11,122.868,-0.475063981855253,1
"17269","9",21,15,148.352,0.260403464110951,1
"17270","10",10,7,67.878,0.799097476221641,1
"17271","11",9,7,44.638,-1.16142935035878,1
"17272","12",11,8,43.706,-0.891118632925657,1
"17273","13",11,7,89.21,-0.285775515484963,1
"17274","14",18,10,66.756,0.287016934702205,1
"17275","15",22,15,288.898,0.752674627610676,1
"17276","16",13,8,81.07,-0.91490098004188,0
"17277","17",15,8,136.148,-0.557811453649108,0
"17278","18",16,12,107.098,-0.304285394021343,0
"17279","19",38,17,171.118,0.254564067111078,0
"17280","20",32,16,181.7,0.683746376927438,0
"17281","1",20,10,97.38,-1.11989236443133,0
"17282","2",19,10,83.978,-0.774654473469132,0
"17283","3",20,12,120.07,-0.121274545357364,0
"17284","4",41,15,336.788,0.402591289386846,0
"17285","5",25,12,228.83,-0.103848950764644,0
"17286","6",5,4,13.03,-1.65297188284342,1
"17287","7",13,7,35.956,-0.838026006137351,1
"17288","8",12,6,57.02,-0.475063981855253,1
"17289","9",18,13,105.476,0.260403464110951,1
"17290","10",10,7,50.93,0.799097476221641,1
"17291","11",6,6,15.088,-1.16142935035878,1
"17292","12",9,9,48.558,-0.891118632925657,1
"17293","13",8,6,61.1,-0.285775515484963,1
"17294","14",15,9,56.028,0.287016934702205,1
"17295","15",24,11,284.408,0.752674627610676,1
"17296","16",17,7,64.16,-0.91490098004188,0
"17297","17",23,11,176.308,-0.557811453649108,0
"17298","18",18,10,107.06,-0.304285394021343,0
"17299","19",33,13,205.178,0.254564067111078,0
"17300","20",37,10,180.89,0.683746376927438,0
"17301","1",15,8,188.18,-1.11989236443133,0
"17302","2",13,8,87.938,-0.774654473469132,0
"17303","3",25,11,398.25,-0.121274545357364,0
"17304","4",40,18,544.836,0.402591289386846,0
"17305","5",18,10,257.74,-0.103848950764644,0
"17306","6",17,9,127.338,-1.65297188284342,1
"17307","7",22,13,121.44,-0.838026006137351,1
"17308","8",9,7,60.43,-0.475063981855253,1
"17309","9",26,16,203.924,0.260403464110951,1
"17310","10",13,8,166.01,0.799097476221641,1
"17311","11",17,10,180.006,-1.16142935035878,1
"17312","12",12,9,92.126,-0.891118632925657,1
"17313","13",13,9,160.48,-0.285775515484963,1
"17314","14",25,12,181.946,0.287016934702205,1
"17315","15",36,17,845.148,0.752674627610676,1
"17316","16",23,13,262.998,-0.91490098004188,0
"17317","17",24,11,271.798,-0.557811453649108,0
"17318","18",17,10,205.68,-0.304285394021343,0
"17319","19",33,14,349.156,0.254564067111078,0
"17320","20",24,11,251.2,0.683746376927438,0
"17321","1",8,6,41.01,-1.11989236443133,0
"17322","2",16,10,93.218,-0.774654473469132,0
"17323","3",15,8,178.66,-0.121274545357364,0
"17324","4",41,15,405.598,0.402591289386846,0
"17325","5",16,11,146.34,-0.103848950764644,0
"17326","6",13,6,54.9,-1.65297188284342,1
"17327","7",12,8,36.664,-0.838026006137351,1
"17328","8",8,7,74.98,-0.475063981855253,1
"17329","9",25,12,134.15,0.260403464110951,1
"17330","10",16,10,61.818,0.799097476221641,1
"17331","11",9,8,50.868,-1.16142935035878,1
"17332","12",12,8,52.706,-0.891118632925657,1
"17333","13",13,7,192.03,-0.285775515484963,1
"17334","14",22,11,122.912,0.287016934702205,1
"17335","15",24,12,303.724,0.752674627610676,1
"17336","16",7,6,52.16,-0.91490098004188,0
"17337","17",13,6,105.148,-0.557811453649108,0
"17338","18",7,7,80.35,-0.304285394021343,0
"17339","19",36,18,241.188,0.254564067111078,0
"17340","20",32,12,281.73,0.683746376927438,0
"17341","1",18,10,137.57,-1.11989236443133,0
"17342","2",14,7,73.638,-0.774654473469132,0
"17343","3",17,10,131.51,-0.121274545357364,0
"17344","4",35,14,320.418,0.402591289386846,0
"17345","5",18,13,226.6,-0.103848950764644,0
"17346","6",7,4,18.888,-1.65297188284342,1
"17347","7",18,10,231.04,-0.838026006137351,1
"17348","8",9,7,116.76,-0.475063981855253,1
"17349","9",21,13,74.108,0.260403464110951,1
"17350","10",10,8,83.378,0.799097476221641,1
"17351","11",5,5,45.188,-1.16142935035878,1
"17352","12",13,8,231.564,-0.891118632925657,1
"17353","13",10,7,248.28,-0.285775515484963,1
"17354","14",16,7,87.004,0.287016934702205,1
"17355","15",17,9,440.736,0.752674627610676,1
"17356","16",9,8,60.738,-0.91490098004188,0
"17357","17",16,7,162.236,-0.557811453649108,0
"17358","18",14,9,325.37,-0.304285394021343,0
"17359","19",29,14,257.926,0.254564067111078,0
"17360","20",24,10,274.368,0.683746376927438,0
"17361","1",14,12,110.88,-1.11989236443133,0
"17362","2",28,16,219.938,-0.774654473469132,0
"17363","3",21,14,177.12,-0.121274545357364,0
"17364","4",41,17,420.988,0.402591289386846,0
"17365","5",20,12,259.43,-0.103848950764644,0
"17366","6",6,5,21.95,-1.65297188284342,1
"17367","7",20,11,183.346,-0.838026006137351,1
"17368","8",9,6,71,-0.475063981855253,1
"17369","9",29,12,93.698,0.260403464110951,1
"17370","10",32,14,199.628,0.799097476221641,1
"17371","11",8,6,79.196,-1.16142935035878,1
"17372","12",11,8,56.338,-0.891118632925657,1
"17373","13",21,12,144.5,-0.285775515484963,1
"17374","14",28,17,183.618,0.287016934702205,1
"17375","15",42,16,512.748,0.752674627610676,1
"17376","16",8,6,80.98,-0.91490098004188,0
"17377","17",24,14,231.386,-0.557811453649108,0
"17378","18",19,11,196.288,-0.304285394021343,0
